Body_Type,Sex,Diet,How_Often_Shower,Heating_Energy_Source,Transport,Vehicle_Type,Social_Activity,Monthly_Grocery_Bill,Frequency_of_Traveling_by_Air,Vehicle_Monthly_Distance_Km,Waste_Bag_Size,Waste_Bag_Weekly_Count,How_Long_TV_PC_Daily_Hour,How_Many_New_Clothes_Monthly,How_Long_Internet_Daily_Hour,Energy_efficiency,Recycling,Cooking_With,CarbonEmission
normal,female,pescatarian,daily,wood,private,lpg,often,280,very frequently,8.730589391275567,small,5,9,0,4,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3911
normal,male,vegetarian,twice a day,coal,walk/bicycle,No Vehicle,sometimes,121,never,4.290459441148391,medium,6,11,4,10,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1204
underweight,female,vegan,less frequently,coal,walk/bicycle,No Vehicle,often,174,very frequently,2.302585092994046,large,2,1,40,15,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2431
obese,male,vegetarian,daily,electricity,walk/bicycle,No Vehicle,sometimes,173,frequently,4.110873864173311,medium,2,16,14,20,Sometimes,"['Plastic', 'Glass']",[],1640
underweight,male,vegan,twice a day,natural gas,walk/bicycle,No Vehicle,sometimes,199,frequently,2.639057329615259,medium,5,17,6,15,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1648
underweight,male,omnivore,less frequently,wood,walk/bicycle,No Vehicle,never,94,rarely,3.4965075614664802,small,6,15,5,17,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1002
underweight,female,pescatarian,less frequently,coal,walk/bicycle,No Vehicle,never,64,frequently,3.912023005428146,small,1,19,47,16,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1771
overweight,female,omnivore,twice a day,electricity,public,No Vehicle,never,100,very frequently,7.20934025660291,extra large,1,20,24,5,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2028
normal,female,vegetarian,more frequently,coal,public,No Vehicle,often,240,very frequently,7.454141078146678,medium,2,15,19,5,No,"['Glass', 'Metal']","['Stove', 'Oven']",2540
underweight,female,omnivore,daily,electricity,public,No Vehicle,sometimes,245,never,6.92951677076365,medium,7,14,48,10,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1386
normal,female,pescatarian,daily,coal,walk/bicycle,No Vehicle,sometimes,270,rarely,4.143134726391533,small,5,22,21,11,Sometimes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1679
overweight,male,omnivore,daily,wood,private,electric,often,294,very frequently,8.730589391275567,small,5,16,20,18,Yes,['Glass'],[],3141
normal,male,vegetarian,more frequently,wood,public,No Vehicle,never,87,very frequently,6.945051063725834,large,4,0,11,24,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2627
underweight,male,pescatarian,less frequently,wood,private,electric,never,209,never,8.730589391275567,large,2,13,43,3,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1188
underweight,male,pescatarian,twice a day,electricity,private,diesel,never,124,never,8.730589391275567,extra large,5,1,11,5,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",3174
overweight,female,vegetarian,more frequently,natural gas,public,No Vehicle,sometimes,276,frequently,7.2875606403097235,large,7,19,5,12,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2327
overweight,female,vegan,daily,wood,walk/bicycle,No Vehicle,never,90,very frequently,3.6888794541139363,medium,3,22,7,9,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",1822
obese,female,vegan,less frequently,natural gas,private,diesel,sometimes,136,never,8.523970175695261,medium,6,0,43,24,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",2665
underweight,male,vegan,daily,electricity,public,No Vehicle,sometimes,246,frequently,6.97166860472579,extra large,4,22,43,7,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2129
normal,male,pescatarian,less frequently,wood,public,No Vehicle,often,94,rarely,6.833031732786201,medium,5,18,10,21,Yes,"['Paper', 'Glass']",['Oven'],1425
overweight,male,vegetarian,more frequently,electricity,private,hybrid,never,253,frequently,7.731053144007127,large,1,0,11,20,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove'],1690
obese,female,omnivore,more frequently,natural gas,walk/bicycle,No Vehicle,never,200,rarely,4.584967478670572,medium,7,13,18,0,Sometimes,['Metal'],"['Stove', 'Microwave']",1717
normal,male,vegan,less frequently,coal,private,lpg,sometimes,281,frequently,8.730589391275567,large,2,4,38,5,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",4060
obese,female,vegetarian,less frequently,electricity,private,petrol,sometimes,82,rarely,8.568076401730806,extra large,3,14,18,17,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",3262
overweight,female,pescatarian,more frequently,coal,public,No Vehicle,often,73,rarely,7.467942332285852,extra large,1,9,30,12,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1674
obese,male,vegetarian,daily,natural gas,private,hybrid,often,246,frequently,8.00603417874901,small,4,0,36,3,Sometimes,['Metal'],"['Stove', 'Oven', 'Microwave']",3135
underweight,male,pescatarian,less frequently,natural gas,private,lpg,sometimes,98,rarely,8.730589391275567,extra large,5,1,49,20,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",4465
overweight,male,pescatarian,twice a day,electricity,public,No Vehicle,never,256,rarely,7.5745584842024805,extra large,3,23,33,8,Sometimes,[],['Stove'],1984
overweight,female,vegetarian,less frequently,electricity,private,lpg,often,287,very frequently,8.494129251817686,large,1,21,21,3,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3246
obese,female,omnivore,daily,electricity,walk/bicycle,No Vehicle,never,63,frequently,3.044522437723423,large,4,1,6,14,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1351
obese,male,vegetarian,less frequently,coal,walk/bicycle,No Vehicle,often,158,never,3.1780538303479458,extra large,1,24,33,2,No,['Glass'],['Stove'],1929
obese,male,omnivore,twice a day,electricity,walk/bicycle,No Vehicle,often,241,frequently,3.5553480614894135,large,5,24,15,10,Yes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2719
obese,female,vegetarian,twice a day,coal,walk/bicycle,No Vehicle,never,176,frequently,4.0943445622221,large,1,11,41,19,Yes,['Paper'],"['Stove', 'Oven']",2336
normal,female,vegetarian,less frequently,wood,public,No Vehicle,often,189,never,6.52649485957079,small,6,0,35,3,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1270
obese,female,vegetarian,less frequently,natural gas,walk/bicycle,No Vehicle,often,214,never,2.3978952727983707,large,6,20,12,24,Yes,['Glass'],"['Stove', 'Microwave']",1803
normal,female,vegan,daily,electricity,walk/bicycle,No Vehicle,sometimes,264,very frequently,2.3978952727983707,medium,1,7,22,17,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1816
normal,male,omnivore,twice a day,coal,private,petrol,sometimes,213,never,8.730589391275567,small,1,16,43,9,No,"['Paper', 'Plastic']","['Stove', 'Oven']",4638
underweight,female,omnivore,twice a day,coal,private,hybrid,often,281,rarely,8.19063168090354,small,3,16,8,22,Sometimes,"['Plastic', 'Metal']",['Stove'],1909
normal,male,vegan,less frequently,natural gas,public,No Vehicle,sometimes,280,frequently,6.285998094508865,large,2,2,30,1,Yes,['Plastic'],['Oven'],2021
normal,male,omnivore,more frequently,natural gas,public,No Vehicle,never,125,rarely,7.355641102974253,large,5,4,15,23,No,['Metal'],"['Oven', 'Microwave']",1896
obese,male,vegan,daily,electricity,walk/bicycle,No Vehicle,never,188,frequently,4.3694478524670215,small,4,11,21,3,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",1770
normal,female,omnivore,daily,wood,walk/bicycle,No Vehicle,often,251,never,4.59511985013459,small,1,12,47,3,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1323
normal,female,pescatarian,daily,wood,public,No Vehicle,never,285,very frequently,7.507141079727608,small,1,21,24,9,Yes,['Plastic'],"['Grill', 'Airfryer']",2269
obese,male,vegan,more frequently,wood,public,No Vehicle,never,234,never,5.497168225293202,extra large,4,20,36,5,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1918
overweight,female,vegan,daily,natural gas,public,No Vehicle,sometimes,91,very frequently,7.369600720526409,small,7,8,43,2,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",2477
normal,female,omnivore,daily,natural gas,walk/bicycle,No Vehicle,never,118,frequently,2.4849066497880004,large,3,6,10,16,No,['Paper'],"['Stove', 'Oven']",1444
obese,female,vegetarian,twice a day,natural gas,walk/bicycle,No Vehicle,never,75,never,4.290459441148391,small,5,15,42,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",1254
overweight,male,vegetarian,more frequently,electricity,public,No Vehicle,never,134,never,7.05444965813294,small,5,19,35,10,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",1411
underweight,male,pescatarian,daily,wood,public,No Vehicle,often,282,never,7.2305631534092925,extra large,4,7,11,8,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1605
obese,male,vegetarian,less frequently,electricity,private,lpg,often,110,never,8.659733878198347,medium,5,7,2,18,No,['Paper'],"['Stove', 'Oven']",3054
overweight,female,vegetarian,less frequently,natural gas,walk/bicycle,No Vehicle,never,202,very frequently,4.532599493153256,extra large,6,9,16,14,Yes,[],"['Grill', 'Airfryer']",2902
overweight,male,pescatarian,less frequently,electricity,private,lpg,never,56,frequently,8.730589391275567,large,7,22,8,15,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",4301
normal,female,vegan,twice a day,electricity,walk/bicycle,No Vehicle,often,223,very frequently,3.9318256327243257,small,3,12,35,22,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2308
normal,female,vegetarian,more frequently,wood,private,petrol,often,202,frequently,8.730589391275567,medium,1,17,37,2,No,"['Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",4132
overweight,male,vegetarian,daily,wood,private,petrol,sometimes,114,frequently,7.769800996003896,medium,3,1,41,23,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",2993
overweight,female,omnivore,daily,wood,private,petrol,often,141,frequently,8.284251797621916,medium,1,7,21,1,Yes,"['Paper', 'Plastic']",[],3098
overweight,female,vegan,twice a day,coal,walk/bicycle,No Vehicle,sometimes,236,rarely,3.7612001156935624,extra large,2,19,15,10,Yes,"['Plastic', 'Metal']",[],1364
normal,female,omnivore,daily,coal,private,lpg,sometimes,95,rarely,8.730589391275567,large,1,15,31,14,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2941
overweight,female,vegetarian,more frequently,electricity,walk/bicycle,No Vehicle,never,249,frequently,3.7376696182833684,large,4,6,2,4,Sometimes,['Paper'],['Microwave'],1349
overweight,female,pescatarian,daily,natural gas,walk/bicycle,No Vehicle,often,213,never,4.276666119016055,medium,1,24,17,16,Yes,"['Plastic', 'Glass']",['Microwave'],1038
obese,male,vegetarian,twice a day,wood,walk/bicycle,No Vehicle,never,81,never,3.6888794541139363,medium,7,16,31,15,No,"['Plastic', 'Glass']",[],1815
overweight,female,vegetarian,more frequently,coal,walk/bicycle,No Vehicle,never,91,very frequently,3.9318256327243257,extra large,1,13,29,24,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2566
overweight,female,vegan,twice a day,wood,private,electric,sometimes,291,very frequently,8.730589391275567,medium,3,2,23,23,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2439
obese,female,pescatarian,twice a day,electricity,private,lpg,sometimes,70,very frequently,5.123963979403259,small,2,9,7,20,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",2056
overweight,female,pescatarian,more frequently,natural gas,public,No Vehicle,often,89,very frequently,6.448889394146858,medium,7,2,0,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2299
overweight,male,vegan,twice a day,electricity,public,No Vehicle,never,121,rarely,5.272999558563747,large,6,15,16,18,Sometimes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1492
underweight,female,omnivore,daily,coal,walk/bicycle,No Vehicle,often,198,rarely,3.8501476017100584,medium,1,12,45,17,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1692
obese,male,vegetarian,more frequently,wood,walk/bicycle,No Vehicle,never,234,frequently,3.6375861597263857,extra large,3,15,29,3,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",2581
overweight,male,vegetarian,less frequently,wood,walk/bicycle,No Vehicle,sometimes,84,rarely,3.4657359027997265,large,2,0,1,1,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",950
normal,male,vegan,twice a day,coal,private,lpg,often,182,never,7.9658927350845286,small,5,10,9,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1923
overweight,female,pescatarian,less frequently,wood,walk/bicycle,No Vehicle,often,275,never,1.9459101490553132,extra large,2,19,49,19,Yes,['Paper'],['Stove'],1751
underweight,female,pescatarian,more frequently,coal,walk/bicycle,No Vehicle,sometimes,228,very frequently,3.713572066704308,small,6,1,35,7,Sometimes,['Glass'],"['Stove', 'Microwave']",2562
overweight,male,vegan,more frequently,wood,walk/bicycle,No Vehicle,never,140,frequently,0.6931471805599453,large,6,9,24,24,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2456
overweight,female,vegetarian,more frequently,electricity,public,No Vehicle,sometimes,232,never,7.201916317531627,extra large,1,22,8,1,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",657
normal,female,pescatarian,twice a day,electricity,public,No Vehicle,often,115,very frequently,5.976350909297934,small,3,21,13,9,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1758
obese,female,vegan,daily,natural gas,public,No Vehicle,never,157,frequently,5.2574953720277815,medium,4,2,44,12,Sometimes,"['Plastic', 'Glass']",['Microwave'],2184
obese,female,pescatarian,twice a day,coal,public,No Vehicle,sometimes,156,very frequently,4.882801922586371,extra large,1,14,20,23,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3009
underweight,male,omnivore,daily,wood,private,diesel,often,252,very frequently,7.258412150595307,large,5,8,43,20,Yes,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",3748
normal,female,vegan,daily,electricity,private,electric,never,162,rarely,8.730589391275567,small,7,2,26,16,No,[],['Microwave'],1122
obese,male,vegetarian,daily,wood,private,hybrid,never,145,never,8.730589391275567,small,3,21,14,16,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",2810
overweight,female,omnivore,daily,electricity,walk/bicycle,No Vehicle,never,214,never,4.477336814478207,medium,3,24,32,23,No,['Plastic'],['Microwave'],1346
underweight,female,vegan,twice a day,natural gas,walk/bicycle,No Vehicle,never,126,rarely,1.3862943611198906,small,5,15,3,12,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",671
underweight,female,omnivore,twice a day,wood,walk/bicycle,No Vehicle,often,91,frequently,2.639057329615259,extra large,1,19,44,16,Yes,"['Paper', 'Glass']",['Microwave'],1695
normal,female,omnivore,more frequently,electricity,walk/bicycle,No Vehicle,never,205,never,4.31748811353631,large,3,6,2,19,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",810
underweight,female,pescatarian,twice a day,wood,private,hybrid,never,285,frequently,8.730589391275567,extra large,3,1,33,4,Yes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2768
underweight,female,vegan,more frequently,natural gas,public,No Vehicle,never,178,never,6.901737206656574,large,7,11,2,13,Sometimes,"['Paper', 'Plastic', 'Glass']",['Microwave'],1033
obese,female,omnivore,twice a day,coal,public,No Vehicle,sometimes,236,rarely,7.599901959208498,large,4,6,17,6,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",2046
obese,female,omnivore,more frequently,coal,private,electric,never,286,rarely,7.909122183211411,small,6,23,30,22,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2171
normal,female,vegetarian,daily,coal,walk/bicycle,No Vehicle,often,108,rarely,1.791759469228055,medium,7,21,0,4,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",1312
obese,male,vegan,twice a day,wood,public,No Vehicle,sometimes,76,rarely,6.848005274576363,large,1,24,3,18,No,"['Plastic', 'Metal']","['Stove', 'Oven']",1209
underweight,male,vegan,more frequently,coal,private,diesel,sometimes,270,frequently,8.730589391275567,small,2,7,37,9,Sometimes,['Metal'],['Microwave'],4017
normal,female,pescatarian,more frequently,wood,private,electric,often,146,rarely,8.094683648698815,extra large,1,13,10,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",877
obese,male,vegan,twice a day,electricity,private,hybrid,sometimes,221,never,8.104703468371108,medium,5,8,16,20,Yes,['Paper'],['Microwave'],1856
obese,male,pescatarian,more frequently,wood,private,hybrid,often,230,never,7.8724551500639794,medium,2,20,31,12,No,"['Glass', 'Metal']",['Microwave'],2197
obese,female,omnivore,twice a day,electricity,private,diesel,often,295,very frequently,8.730589391275567,large,1,15,10,18,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven']",4281
underweight,male,vegan,less frequently,electricity,private,lpg,sometimes,177,frequently,8.730589391275567,small,3,17,3,24,Yes,['Glass'],"['Oven', 'Grill', 'Airfryer']",3480
underweight,female,vegetarian,twice a day,natural gas,walk/bicycle,No Vehicle,often,189,never,2.995732273553991,medium,1,22,36,7,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",953
underweight,male,omnivore,daily,natural gas,private,electric,often,174,frequently,8.206037762778815,small,2,9,44,21,Yes,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2046
obese,male,vegan,twice a day,coal,private,petrol,never,193,never,6.416732282512326,large,6,12,37,5,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2521
overweight,male,omnivore,twice a day,wood,public,No Vehicle,never,238,very frequently,7.266827347520591,large,6,1,33,3,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",3551
normal,male,pescatarian,twice a day,wood,public,No Vehicle,sometimes,101,never,7.590346945602565,medium,3,14,36,11,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",1459
underweight,male,vegan,daily,electricity,walk/bicycle,No Vehicle,sometimes,99,very frequently,4.532599493153256,extra large,2,8,29,18,No,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2492
obese,male,omnivore,daily,coal,walk/bicycle,No Vehicle,often,50,frequently,4.418840607796598,large,1,10,23,16,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2411
obese,female,pescatarian,daily,coal,public,No Vehicle,never,71,very frequently,7.524021415206125,large,7,15,0,20,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],2761
underweight,female,vegetarian,twice a day,wood,public,No Vehicle,sometimes,232,rarely,7.110696122978827,extra large,3,7,26,9,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1500
overweight,male,pescatarian,more frequently,wood,private,electric,sometimes,247,never,8.730589391275567,extra large,5,18,2,5,Sometimes,['Glass'],"['Stove', 'Oven']",1708
obese,female,omnivore,less frequently,coal,public,No Vehicle,sometimes,222,never,7.237778191923443,extra large,4,19,2,7,No,['Metal'],"['Microwave', 'Grill', 'Airfryer']",1717
overweight,male,vegan,less frequently,wood,public,No Vehicle,sometimes,61,frequently,6.075346031088684,medium,1,23,41,14,No,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",2135
underweight,male,vegan,less frequently,wood,private,hybrid,sometimes,137,never,8.730589391275567,small,6,5,11,20,Sometimes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",2042
normal,female,vegan,more frequently,wood,walk/bicycle,No Vehicle,never,157,rarely,2.772588722239781,small,1,20,50,18,Sometimes,"['Paper', 'Metal']","['Grill', 'Airfryer']",1221
underweight,male,vegetarian,less frequently,natural gas,private,diesel,never,174,very frequently,8.452547997922705,extra large,2,0,47,2,No,"['Paper', 'Plastic', 'Glass']",['Microwave'],3473
